RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
106                 159                      53             26,5           53
104,25              138,63                   52,125         21,625         46
102,47              123,23                   51,234         18             45
100,91              110,69                   50,455         15,059         45
100,8               96,029                   50,398         11,408         50
100,7               84,97                    50,348         8,6553         50
99,11               81,869                   49,555         8,0786         44
99,971              77,666                   49,986         6,9202         53
100,22              71,888                   50,112         5,4438         51
100,95              69,692                   50,473         4,8048         53
102,08              69,98                    51,039         4,7353         55
102,32              66,326                   51,159         3,7917         52
103,28              66,855                   51,639         3,8039         55
103,37              63,457                   51,684         2,9431         52
104,95              67,619                   52,474         3,7862         58
105,83              67,799                   52,915         3,7212         56
105,35              65,754                   52,675         3,2696         51
102,43              72,7                     51,216         5,371          41
102,13              68,393                   51,064         4,3322         50
102,86              67,364                   51,431         3,9832         54
100,5               71,633                   50,252         5,3451         42
100,44              66,508                   50,221         4,0719         50
99,386              66,129                   49,693         4,109          46
99,963              64,615                   49,981         3,6585         52
99,717              61,816                   49,859         2,9892         49
100,75              63,485                   50,376         3,2773         54
98,909              66,662                   49,454         4,302          43
98,795              62,758                   49,398         3,3401         49
99,446              62,346                   49,723         3,1557         52
100,76              65,127                   50,382         3,6861         55
100,42              62,65                    50,21          3,1102         49
100,62              60,429                   50,308         2,5302         51
101,04              59,802                   50,52          2,3205         52
102,66              64,772                   51,33          3,3604         57
103,83              66,665                   51,914         3,6878         56
105,1               68,699                   52,549         4,0375         57
103,46              70,393                   51,731         4,6655         46
103,03              67,242                   51,514         3,9318         50
103,9               67,231                   51,95          3,8202         55
103,66              64,242                   51,831         3,1027         51
103,2               62,742                   51,602         2,7849         50
101,05              67,484                   50,527         4,2393         43
101,17              63,777                   50,586         3,2977         51
100,78              61,867                   50,388         2,8698         49
99,929              61,962                   49,964         2,9993         47
99,688              59,806                   49,844         2,4906         49
97,477              65,054                   48,738         4,0789         41
98,542              65,77                    49,271         4,1246         53
97,474              65,382                   48,737         4,1612         45
98,79               67,142                   49,395         4,4366         54
98,441              63,926                   49,221         3,6762         48
100,39              69,001                   50,193         4,702          57
99,338              67,968                   49,669         4,5748         46
100,92              70,516                   50,46          5,0138         56
101,81              69,484                   50,903         4,6453         54
101,58              65,629                   50,79          3,7097         50
100,88              64,36                    50,441         3,4797         48
101,52              63,759                   50,761         3,2495         53
102,83              66,403                   51,416         3,7469         56
101,98              65,645                   50,989         3,6641         48
100,98              65,472                   50,49          3,7453         47
102,36              67,925                   51,179         4,1864         56
101,81              65,645                   50,907         3,6846         49
101,09              64,504                   50,543         3,4901         48
101,7               63,777                   50,85          3,2317         53
101,74              60,714                   50,869         2,4612         51
99,771              65,138                   49,885         3,8132         43
98,8                64,725                   49,4           3,8312         46
99,45               63,819                   49,725         3,5235         52
100,52              65,105                   50,259         3,7114         54
100,45              61,62                    50,227         2,8484         50
99,647              61,595                   49,823         2,943          47
99,691              58,851                   49,846         2,2514         50
100,98              62,398                   50,49          2,9771         55
100,36              61,6                     50,179         2,8553         48
99,563              61,526                   49,781         2,9361         47
100,37              62,211                   50,184         3,0068         53
99,821              61,115                   49,911         2,801          48
101,34              65,164                   50,672         3,6231         56
99,426              68,254                   49,713         4,6353         43
97,997              68,617                   48,999         4,9047         44
98,748              67,089                   49,374         4,4288         52
98,404              63,863                   49,202         3,6651         48
100,6               70,095                   50,302         4,9483         58
99,778              68,036                   49,889         4,5367         47
100,81              68,124                   50,403         4,4302         54
99,705              67,546                   49,853         4,4234         46
100,99              68,914                   50,496         4,6044         55
101,12              64,876                   50,559         3,5793         51
101,48              62,918                   50,739         3,0447         52
101,29              60,52                    50,647         2,4683         50
102,13              61,824                   51,066         2,6895         54
103,12              63,56                    51,558         3,0007         55
103,98              64,432                   51,988         3,1111         55
102,98              64,811                   51,489         3,3303         48
102,36              63,659                   51,178         3,1201         49
103,56              65,963                   51,781         3,5455         56
102,37              66,601                   51,183         3,8544         47
101,07              67,282                   50,535         4,1866         46
101,19              63,618                   50,594         3,2561         51
101,04              60,881                   50,519         2,5905         50
100,41              60,495                   50,204         2,5727         48
101,36              62,192                   50,679         2,8784         54
99,938              64,283                   49,969         3,5785         45
99,196              63,302                   49,598         3,4261         47
100,55              65,954                   50,273         3,9201         55
99,228              66,648                   49,614         4,2584         45
100,07              66,198                   50,037         4,0403         53
100,32              63,241                   50,158         3,2709         51
99,776              61,858                   49,888         2,9926         48
99,804              58,992                   49,902         2,2725         50
101,33              63,58                    50,664         3,2289         56
101,91              62,979                   50,956         3,0056         53
100,67              64,31                    50,337         3,4932         46
100,09              62,861                   50,045         3,2041         48
99,828              60,571                   49,914         2,6642         49
100,35              60,253                   50,175         2,5197         52
100,31              57,887                   50,153         1,9334         50
101,02              59,156                   50,509         2,1618         53
99,64               61,815                   49,82          2,9986         45
100,69              63,518                   50,343         3,2939         54
98,6                67,524                   49,3           4,5561         42
97,275              67,605                   48,637         4,742          44
97,865              65,521                   48,933         4,1472         51
97,132              63,94                    48,566         3,8436         46
97,741              62,835                   48,87          3,4911         51
98,023              60,615                   49,012         2,9008         50
98,77               61,076                   49,385         2,9227         52
99,174              59,97                    49,587         2,5957         51
100,28              62,339                   50,139         3,0501         54
100,74              61,383                   50,371         2,7529         52
101,4               61,587                   50,7           2,7219         53
101,97              61,453                   50,987         2,6164         53
99,478              67,576                   49,739         4,4592         41
98,793              65,513                   49,397         4,0291         47
97,944              64,456                   48,972         3,871          46
97,201              63,185                   48,601         3,6462         46
97,801              62,239                   48,9           3,3346         51
98,076              60,141                   49,038         2,7758         50
98,816              60,698                   49,408         2,8224         52
100,21              64,166                   50,107         3,5147         55
99,187              64,245                   49,594         3,6628         46
98,289              63,727                   49,145         3,6456         46
96,503              66,333                   48,251         4,5203         42
96,94               63,779                   48,47          3,8274         50
95,823              63,863                   47,911         3,988          44
94,845              63,298                   47,422         3,9688         44
95,239              61,104                   47,62          3,371          49
94,834              59,15                    47,417         2,9332         46
94,73               56,582                   47,365         2,3042         47
96,639              62,867                   48,319         3,6369         55
96,059              61,259                   48,029         3,3075         46
96,302              59,044                   48,151         2,7233         49
96,514              57,276                   48,257         2,2548         49
97,7                60,357                   48,85          2,8768         53
99,737              66,649                   49,869         4,1952         57
100,27              64,852                   50,135         3,6792         52
99,986              62,166                   49,993         3,0432         49
102,24              69,255                   51,119         4,5341         59
103,71              71,337                   51,854         4,8708         57
102,49              70,714                   51,247         4,8667         47
101,43              69,564                   50,716         4,7118         47
101,75              66,296                   50,877         3,8548         52
102,03              63,705                   51,017         3,1719         52
100,78              64,923                   50,39          3,6332         46
100,43              62,506                   50,216         3,0724         49
101,13              62,565                   50,564         3,0002         53
101,49              61,18                    50,744         2,6091         52
103,05              65,609                   51,526         3,5209         57
103,92              65,997                   51,96          3,5092         55
102,18              68,578                   51,09          4,3719         45
103,41              69,73                    51,704         4,5064         56
103,23              65,839                   51,616         3,5558         51
103,83              64,965                   51,914         3,2629         54
102,85              65,127                   51,425         3,4256         48
102,49              62,948                   51,247         2,9254         50
102,43              60,238                   51,216         2,2557         51
104,38              66,74                    52,189         3,6378         59
103,33              66,767                   51,665         3,7756         48
103,16              63,574                   51,582         2,998          51
102,02              64,585                   51,009         3,394          47
102,27              62,306                   51,133         2,7932         52
102,73              61,613                   51,366         2,5616         53
103,64              63,139                   51,821         2,8296         55
103,69              60,511                   51,843         2,167          52
104,23              60,771                   52,113         2,1645         54
105,45              64,104                   52,724         2,8452         57
104,77              63,642                   52,383         2,8148         50
104,92              61,522                   52,46          2,2653         53
105,06              59,863                   52,528         1,8339         53
104,92              58,491                   52,462         1,5074         52
102,06              67,013                   51,029         3,996          41
101,55              64,792                   50,775         3,5042         49
101,36              61,967                   50,678         2,822          50
100,44              62,363                   50,219         3,0361         47
100,13              60,393                   50,066         2,5818         49
99,866              58,745                   49,933         2,2029         49
101,88              65,617                   50,941         3,6689         58
99,897              68,897                   49,949         4,737          43
99,41               65,865                   49,705         4,04           48
