RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
96                  144                      48             24             48
95,5                121,75                   47,75          18,5           46
94,313              107,41                   47,156         15,063         43
95,023              95,543                   47,512         12,008         50
94,396              85,733                   47,198         9,6338         45
97,096              88,252                   48,548         9,9259         58
98,209              83,334                   49,105         8,5574         53
98,933              78,034                   49,466         7,1419         52
98,066              73,925                   49,033         6,2231         46
97,808              68,606                   48,904         4,9256         48
100,08              73,914                   50,041         5,9682         58
100,07              67,981                   50,036         4,4864         50
100,31              64,58                    50,156         3,6058         51
100,27              61,111                   50,137         2,7435         50
100,99              61,588                   50,495         2,7734         53
100,87              59,248                   50,433         2,2037         50
99,258              62,673                   49,629         3,261          44
99,35               59,829                   49,675         2,5386         50
98,932              58,757                   49,466         2,3227         48
99,815              60,41                    49,908         2,6256         53
99,088              60,328                   49,544         2,6961         47
98,702              58,983                   49,351         2,4081         48
99,114              58,43                    49,557         2,2183         51
98,725              57,575                   49,363         2,053          48
100,13              61,864                   50,067         2,9491         55
98,618              64,223                   49,309         3,7287         44
97,04               66,015                   48,52          4,3737         43
98,41               67,806                   49,205         4,6502         54
97,609              65,96                    48,805         4,289          46
99,158              68,641                   49,579         4,7656         55
100,26              68,849                   50,132         4,6794         54
101,48              69,647                   50,74          4,7267         55
102,05              67,463                   51,023         4,11           53
102,29              64,452                   51,145         3,3268         52
101,75              63,002                   50,877         3,0313         49
101,53              60,738                   50,767         2,4927         50
101,09              59,791                   50,546         2,3113         49
102,96              65,866                   51,478         3,5969         58
101,59              67,062                   50,793         4,0672         46
101,64              63,227                   50,819         3,1021         51
101,43              60,842                   50,717         2,5313         50
102,25              62,004                   51,127         2,7193         54
100,72              64,646                   50,361         3,5713         45
101,38              64,044                   50,691         3,3381         53
101,46              61,053                   50,73          2,5808         51
101,53              58,776                   50,763         2,0032         51
103,34              64,914                   51,668         3,3115         58
104,67              67,601                   52,335         3,8167         57
104,09              65,827                   52,043         3,4461         50
104,07              62,418                   52,037         2,5953         52
102,82              64,231                   51,408         3,2058         47
102,21              63,132                   51,107         3,0063         49
101,94              61,094                   50,968         2,5314         50
102,19              59,723                   51,097         2,1564         52
101,67              59,402                   50,835         2,1417         49
102,96              63,071                   51,481         2,8975         56
103,09              60,757                   51,546         2,3029         52
102,7               59,807                   51,352         2,1136         50
101,37              62,377                   50,683         2,9233         46
101,45              59,81                    50,723         2,2716         51
99,765              63,42                    49,883         3,3845         44
99,795              60,168                   49,897         2,5677         50
99,32               59,261                   49,66          2,4001         48
98,905              58,313                   49,453         2,2151         48
97,792              59,994                   48,896         2,7745         45
99,568              65,211                   49,784         3,8569         56
99,372              62,041                   49,686         3,0886         49
100,45              63,805                   50,225         3,395          54
101,39              64,657                   50,697         3,4899         54
99,72               67,027                   49,86          4,2917         44
98,005              68,738                   49,002         4,9338         43
98,504              66,051                   49,252         4,1997         51
98,941              63,818                   49,471         3,5867         51
99,824              64,201                   49,912         3,5724         53
98,096              66,677                   49,048         4,4073         43
98,334              63,341                   49,167         3,5435         50
99,542              65,235                   49,771         3,8659         54
99,599              61,626                   49,8           2,9567         50
101,65              67,895                   50,825         4,2676         58
101,44              64,349                   50,722         3,4069         50
101,76              62,38                    50,881         2,8748         52
101,79              59,639                   50,896         2,1857         51
101,82              57,57                    50,909         1,6652         51
101,34              57,575                   50,671         1,7262         49
100,67              58,186                   50,337         1,9623         48
100,09              58,268                   50,045         2,0559         48
100,58              58,412                   50,289         2,0308         52
99,256              61,009                   49,628         2,8453         45
100,35              63,083                   50,174         3,227          54
102,06              67,534                   51,028         4,1267         57
103,05              67,877                   51,524         4,0881         55
101,92              67,747                   50,959         4,1971         47
101,68              64,389                   50,839         3,3875         50
102,22              63,433                   51,109         3,0809         53
101,94              61,322                   50,97          2,5879         50
101,2               61,333                   50,599         2,6835         48
102,8               65,851                   51,399         3,6129         57
102,7               62,587                   51,349         2,8095         51
102,86              60,51                    51,431         2,2698         52
103,75              62,255                   51,877         2,5947         55
115,53              112,67                   57,767         13,727         99
125,59              144,21                   62,796         20,353         98
134,64              164,59                   67,322         24,316         99
143,31              179,28                   71,657         26,906         102
151,65              189,89                   75,824         28,516         105
155,69              179,57                   77,846         25,431         92
162,98              186,94                   81,491         26,361         107
168,11              183,65                   84,054         24,898         102
171,59              174,44                   85,797         22,16          98
175,15              168,26                   87,573         20,171         100
178,75              164,32                   89,376         18,735         102
181,41              157,53                   90,704         16,707         100
183,98              152,41                   91,991         15,104         101
187,23              151,94                   93,617         14,58          105
188,83              144,54                   94,415         12,531         100
188,98              132,67                   94,488         9,5445         95
191,1               132,7                    95,552         9,2863         103
190,72              124,77                   95,358         7,3528         94
190,63              117,73                   95,313         5,6041         95
191,8               117,4                    95,899         5,3747         100
191,82              112,14                   95,912         4,0563         96
192,85              112,68                   96,423         4,0642         100
191,99              111,61                   95,995         3,9039         93
192,99              112,21                   96,496         3,9292         100
194,37              114,48                   97,184         4,323          102
196,57              120,07                   98,286         5,4463         106
196,75              115,43                   98,375         4,2633         99
195,16              116,74                   97,578         4,7912         92
197,51              122,55                   98,756         5,9489         107
198,82              122,5                    99,411         5,7727         104
199,72              120,77                   99,86          5,2267         103
199,25              117,17                   99,627         4,385          98
200,85              119,95                   100,42         4,8819         106
202,24              121,34                   101,12         5,0554         106
204,21              125,15                   102,11         5,7613         109
205,44              124,9                    102,72         5,5445         107
205,01              120,85                   102,5          4,5878         101
204,38              118,46                   102,19         4,0666         100
204,83              116,43                   102,42         3,5024         104
205,23              114,71                   102,61         3,0227         104
205,07              112,22                   102,54         2,4206         102
205,69              112,57                   102,85         2,4311         105
204,48              114,38                   102,24         3,0346         98
205,17              114,45                   102,58         2,9661         105
203,52              117,24                   101,76         3,8707         96
202,08              118,42                   101,04         4,3434         96
203,82              121,9                    101,91         4,9972         108
202,84              120,33                   101,42         4,7257         98
200,49              123,84                   100,24         5,8999         92
200,18              119,03                   100,09         4,736          99
200,16              114,37                   100,08         3,5743         100
197,89              118,74                   98,943         4,9502         91
198,15              114,98                   99,075         3,9768         100
198,13              111,07                   99,066         3,0014         99
197,37              110,75                   98,683         3,0175         96
198,69              113,72                   99,347         3,5925         104
198,36              111,3                    99,179         3,0312         98
199,81              114,82                   99,907         3,7287         105
198,84              114,51                   99,418         3,7731         96
199,98              115,89                   99,991         3,9753         104
201,48              118,68                   100,74         4,4837         106
201,55              114,48                   100,77         3,4273         101
199,61              117,86                   99,803         4,514          93
199,65              113,57                   99,827         3,4349         100
199,7               110,33                   99,849         2,6194         100
199,74              107,88                   99,868         2,0023         100
198,27              111,01                   99,134         2,9687         94
200,23              116,89                   100,12         4,1929         107
200,96              115,94                   100,48         3,8653         103
202,59              119,41                   101,29         4,5296         107
202,01              116,89                   101,01         3,9704         99
202,01              112,92                   101,01         2,9794         101
203,26              115,56                   101,63         3,4832         106
202,85              113,51                   101,43         3,0199         100
203,75              114,51                   101,87         3,1583         105
203,28              112,99                   101,64         2,837          100
204,12              113,93                   102,06         2,968          105
205,85              118,77                   102,93         3,9613         109
205,87              114,89                   102,94         2,9893         103
206,89              116,48                   103,44         3,2581         107
206,28              115,36                   103,14         3,0545         101
204,99              116,8                    102,5          3,5754         98
204,12              116,28                   102,06         3,5556         99
205,1               117,16                   102,55         3,6519         106
204,47              115,74                   102,23         3,3769         100
204,66              113,23                   102,33         2,7245         103
205,83              115,76                   102,91         3,2112         107
207,35              119,39                   103,67         3,9303         109
206,43              118,68                   103,21         3,8661         100
206,62              115,7                    103,31         3,096          104
204,3               120,75                   102,15         4,6501         94
204,26              116,23                   102,13         3,5247         102
204,48              113,68                   102,24         2,861          103
202,92              116,28                   101,46         3,7054         96
204,3               118,81                   102,15         4,1644         107
203,77              116,53                   101,88         3,6612         100
203,54              113,64                   101,77         2,9665         101
204,6               115,43                   102,3          3,2818         106
202,78              118,53                   101,39         4,2865         95
201,18              119,84                   100,59         4,8119         95
